product_id,product_name
PRD001,Smart Thermostat with AI
PRD002,Advanced Medical Imaging Device
PRD003,Self-Driving Delivery Drone
PRD004,Biometric Security System
PRD005,Blockchain-based Supply Chain Platform
PRD006,Personalized Medicine App
PRD007,3D Printing for Customized Prosthetics
PRD008,Environmental Monitoring System
PRD009,Solar-Powered Water Purification Device
PRD010,Neural Interface for Augmented Reality
PRD011,Autonomous Agricultural Robot
PRD012,Smart Home Energy Management System
PRD013,AI-powered Language Translation Device
PRD014,Virtual Reality Therapy for Mental Health
PRD015,Biofeedback Wearable for Stress Reduction
